Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",4,3.99,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,2010/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
43763,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"Rice, Anne",,"=""0345476875""","=""9780345476876""",4,4.00,Ballantine Books,Paperback,342,2004,1976,2009/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
3037587,Relativistic Quantum Mechanics,James D. Bjorken,"Bjorken, James D.",Sidney D. Drell,"=""0072320028""","=""9780072320022""",3,3.80,McGraw-Hill Science/Engineering/Math,Paperback,314,1998,1964,2011/06/01,2016/04/28,,,read,,,,1,,,0,,,,,
888552,Quantum Field Theory,Franz Mandl,"Mandl, Franz",Graham P. Shaw,"=""0471941867""","=""9780471941866""",5,3.72,Wiley,Paperback,372,1994,1984,2011/12/01,2016/04/28,,,read,,,,1,,,0,,,,,
41865,"Twilight (Twilight, #1)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316015849""","=""9780316015844""",3,3.60,"Little, Brown and Company",Paperback,501,2006,2005,2008/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
866136,The Dreaming Void,Peter F. Hamilton,"Hamilton, Peter F.",,"=""0345496531""","=""9780345496539""",0,4.18,Del Rey,Hardcover,630,2008,2007,2016/12/01,2017/04/12,,,read,,,,1,,,0,,,,,
4982,The Sirens of Titan,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",5,4.15,Gollancz,Paperback,224,1999,1959,2011/04/01,2013/11/03,,,read,,,,1,,,0,,,,,
8049273,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,"Greene, Brian",,"=""039333810X""","=""9780393338102""",0,4.07,W. W. Norton & Company,Paperback,464,2010,1999,2001/01/01,2018/10/29,,,read,,,,1,,,0,,,,,
61179,"Ringworld (Ringworld, #1)",Larry Niven,"Niven, Larry",,"=""0575077026""","=""9780575077027""",4,3.96,Gollancz,Paperback,288,2005,1970,2010/11/01,2013/11/03,,,read,,,,1,,,0,,,,,
45252,"Pandora's Star (Commonwealth Saga, #1)",Peter F. Hamilton,"Hamilton, Peter F.",Marta García Martínez,"=""0345461622""","=""9780345461629""",0,4.24,Del Rey,Hardcover,768,2005,2004,2016/08/01,2017/04/12,,,read,,,,1,,,0,,,,,
8909,The War of the Worlds,H.G. Wells,"Wells, H.G.",Arthur C. Clarke,"=""0375759239""","=""9780375759239""",4,3.83,Modern Library,Paperback,192,2002,1898,2012/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
807808,Calculus: A Complete Course,Robert A. Adams,"Adams, Robert A.",,"=""0201791315""","=""9780201791310""",5,3.97,Addison Wesley Publishing Company,Hardcover,999,2003,1990,2007/08/01,2016/04/28,,,read,,,,1,,,0,,,,,
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""055358202X""","=""9780553582024""",4,4.14,Bantam Books,Mass Market Paperback,1061,2011,2005,2013/01/01,2020/05/30,,,read,,,,1,,,0,,,,,
32025993,The Populist Explosion: How the Great Recession Transformed American and European Politics,John Judis,"Judis, John",,"=""""","=""""",5,3.77,Columbia Global Reports,Kindle Edition,184,2016,2016,2016/12/01,2016/12/01,,,read,,,,1,,,0,,,,,
65605,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,"Lewis, C.S.",,"=""0060764902""","=""9780060764906""",4,4.04,HarperCollins Publishers,Paperback,221,2005,1955,2000/01/01,2016/05/01,,,read,,,,1,,,0,,,,,
27772702,The Fountain Pen Book,Tony Thomas,"Thomas, Tony",,"=""""","=""""",4,4.03,TTE Books,Kindle Edition,49,2015,,2017/04/01,2017/04/05,,,read,,,,1,,,0,,,,,
5326,A Christmas Carol,Charles Dickens,"Dickens, Charles",Joe L. Wheeler,"=""1561797464""","=""9781561797462""",4,4.06,Bethany House Publishers,Paperback,104,1999,1843,2013/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
240617,Tau Zero,Poul Anderson,"Anderson, Poul",,"=""""","=""""",5,3.86,Gollancz,Paperback,190,2006,1970,2011/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,4.22,Del Rey Books,Mass Market Paperback,216,2005,1979,2000/01/01,2016/05/01,,,read,,,,1,,,0,,,,,
114955,The Arctic Incident  (Artemis Fowl #2),Eoin Colfer,"Colfer, Eoin",Sian Melangell Dafydd,"=""""","=""""",0,3.95,Hyperion Books for Children,Paperback,398,2004,2002,2003/01/01,2018/10/29,,,read,,,,1,,,0,,,,,
6779,"Six Not-So-Easy Pieces: Einstein's Relativity, Symmetry, and Space-Time",Richard P. Feynman,"Feynman, Richard P.",Roger Penrose,"=""0465023932""","=""9780465023936""",4,4.23,Basic Books,Paperback,184,2005,1963,2011/09/01,2016/04/28,,,read,,,,1,,,0,,,,,
359375,Night Watch (Watch #1),Sergei Lukyanenko,"Lukyanenko, Sergei",Andrew Bromfield,"=""1401359795""","=""9781401359799""",4,3.98,Miramax Books,Paperback,455,2006,1998,2006/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""0140449264""","=""9780140449266""",4,4.25,Penguin Classics,Paperback,1276,2003,1844,2013/11/01,2013/11/03,,,read,,,,1,,,0,,,,,
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""0156030306""","=""9780156030304""",5,4.14,Harvest Books,Paperback,311,2005,1959,2011/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
367215,Man Plus (Man Plus #1),Frederik Pohl,"Pohl, Frederik",,"=""1857989465""","=""9781857989465""",4,3.74,"Millennium Paperbacks, imprint of Gollancz",Paperback,215,2000,1976,2011/01/01,2019/04/17,,,read,,,,1,,,0,,,,,
84369,"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,"Lewis, C.S.",,"=""0007202326""","=""9780007202324""",4,4.02,HarperCollins Publishers,Paperback,288,2005,1956,1999/01/01,2016/05/01,,,read,,,,1,,,0,,,,,
8648,"Xenocide (Ender's Saga, #3)",Orson Scott Card,"Card, Orson Scott",Piotr W. Cholewa,"=""0312861877""","=""9780312861872""",4,3.80,Tor Books,Mass Market Paperback,592,1996,1991,2000/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
33917107,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,"Snyder, Timothy",,"=""0804190119""","=""9780804190114""",0,4.20,Tim Duggan Books,Paperback,126,2017,2017,2017/10/01,2017/10/05,,,read,,,,1,,,0,,,,,
2932,Robinson Crusoe (Robinson Crusoe #1),Daniel Defoe,"Defoe, Daniel",Virginia Woolf,"=""""","=""""",0,3.68,Modern Library,Paperback,320,2001,1719,2016/07/01,2016/07/03,,,read,,,,1,,,0,,,,,
9791,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,"Bryson, Bill",,"=""0307279464""","=""9780307279460""",0,4.06,Anchor Books,Mass Market Paperback,397,2006,1998,2018/11/01,2018/11/27,,,read,,,,1,,,0,,,,,
93269,Earth Abides,George R. Stewart,"Stewart, George R.",,"=""0345487133""","=""9780345487131""",5,3.96,Del Rey,Paperback,345,2006,1949,2011/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
1221180,Modern Physics,Paul A. Tipler,"Tipler, Paul A.",Ralph A. Llewellyn,"=""0716743450""","=""9780716743453""",4,3.88,W. H. Freeman,Hardcover,700,2002,1977,2010/01/01,2016/04/28,,,read,,,,1,,,0,,,,,
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",4,4.17,Bantam,Hardcover,244,2004,1951,2008/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
13810,"Magician: Master (The Riftwar Saga, #2)",Raymond E. Feist,"Feist, Raymond E.",,"=""0553564935""","=""9780553564938""",5,4.23,Spectra Books,Mass Market Paperback,499,1993,1982,2015/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
41804,"I, Robot (Robot, #0.1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803700""","=""9780553803709""",4,4.20,Spectra,Hardcover,224,2004,1950,2008/02/01,2013/11/03,,,read,,,,1,,,0,,,,,
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0061020680""","=""9780061020681""",4,4.23,Harpertorch,Mass Market Paperback,243,2001,1987,2015/08/01,2015/08/15,,,read,,,,1,,,0,,,,,
8695,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,4.21,Del Rey,Paperback,250,2005,1980,2002/01/01,2016/05/01,,,read,,,,1,,,0,,,,,
